epoch,accuracy,loss,val_accuracy,val_loss
0,0.79608154296875,1.6581696271896362,0.9199166893959045,0.3437039852142334
1,0.93017578125,0.2840993404388428,0.950166642665863,0.20903395116329193
2,0.9481201171875,0.21116439998149872,0.9497500061988831,0.21024151146411896
3,0.9642333984375,0.13252972066402435,0.9675833582878113,0.14347660541534424
4,0.96697998046875,0.13036787509918213,0.9674999713897705,0.12681128084659576
5,0.973388671875,0.10384875535964966,0.9739999771118164,0.11257406324148178
6,0.9815673828125,0.06241858750581741,0.9673333168029785,0.1430690735578537
7,0.979248046875,0.07193578779697418,0.972000002861023,0.11027420312166214
8,0.97802734375,0.07611309736967087,0.9761666655540466,0.10256914049386978
9,0.98687744140625,0.04144344478845596,0.9772499799728394,0.10536586493253708
10,0.98516845703125,0.053868576884269714,0.9763333201408386,0.10576300323009491
11,0.98345947265625,0.05631290748715401,0.9739999771118164,0.11105560511350632
12,0.9915771484375,0.029007205739617348,0.9758333563804626,0.09557022154331207
13,0.98846435546875,0.03747507184743881,0.9763333201408386,0.10078366845846176
14,0.98876953125,0.03438921272754669,0.9800000190734863,0.09221688657999039
15,0.99163818359375,0.02777007967233658,0.9766666889190674,0.11008723080158234
16,0.98809814453125,0.03589139133691788,0.9725833535194397,0.1356256902217865
17,0.98895263671875,0.03299955278635025,0.9769166707992554,0.11680781841278076
18,0.9912109375,0.026479065418243408,0.9750000238418579,0.1146111860871315
19,0.98828125,0.03888961672782898,0.9775000214576721,0.10763641446828842
20,0.9903564453125,0.031759895384311676,0.9776666760444641,0.10760687291622162
21,0.99334716796875,0.020489690825343132,0.9790833592414856,0.1054542064666748
22,0.990234375,0.031421877443790436,0.9739166498184204,0.12628738582134247
23,0.9935302734375,0.018249349668622017,0.9796666502952576,0.10988704115152359
24,0.99359130859375,0.01929083652794361,0.9816666841506958,0.10876735299825668
25,0.99267578125,0.024445276707410812,0.9767500162124634,0.1252903789281845
26,0.9931640625,0.022207919508218765,0.9788333177566528,0.11850899457931519
27,0.99346923828125,0.022021692246198654,0.9774166941642761,0.12456376105546951
28,0.990234375,0.030742913484573364,0.9769166707992554,0.12942291796207428
29,0.9951171875,0.014187107793986797,0.9794166684150696,0.13352711498737335
30,0.99359130859375,0.020131994038820267,0.9800000190734863,0.1221190094947815
31,0.99298095703125,0.021680712699890137,0.9791666865348816,0.12421046942472458
32,0.995849609375,0.012681931257247925,0.9804999828338623,0.11899338662624359
33,0.99530029296875,0.01531971525400877,0.9774166941642761,0.12499328702688217
34,0.992431640625,0.02190118469297886,0.9748333096504211,0.1484827846288681
35,0.9947509765625,0.017193391919136047,0.9778333306312561,0.12390131503343582
36,0.993896484375,0.019660986959934235,0.9768333435058594,0.14710237085819244
37,0.99383544921875,0.018246185034513474,0.9783333539962769,0.13935869932174683
38,0.99603271484375,0.012142065912485123,0.9782500267028809,0.1341889202594757
39,0.99578857421875,0.013152481988072395,0.9762499928474426,0.13365238904953003
40,0.9959716796875,0.011953202076256275,0.9794166684150696,0.12920501828193665
41,0.9959716796875,0.011460025794804096,0.9788333177566528,0.1436222344636917
42,0.99615478515625,0.015537599101662636,0.9792500138282776,0.12818706035614014
43,0.99627685546875,0.011463990435004234,0.9771666526794434,0.16589294373989105
44,0.99615478515625,0.012865977361798286,0.9779999852180481,0.15625283122062683
45,0.99676513671875,0.011303967796266079,0.9775000214576721,0.1560181975364685
46,0.99761962890625,0.009541602805256844,0.9785833358764648,0.15726658701896667
47,0.996337890625,0.012495884671807289,0.9774166941642761,0.15776774287223816
48,0.9954833984375,0.014295199885964394,0.9783333539962769,0.14638812839984894
49,0.9969482421875,0.010689545422792435,0.9785000085830688,0.15152806043624878
